"ANIMAL_TYPE","DATECANCELLED","DATEINVTDONE","DATETIMECLOSED","DATETIMEINIT","HOUSE_NUMBER","NEIGHBORHOOD","PLAIN_ENGLISH_NAME_FOR_PROBLEMCODE","PRJCOMPLETEDATE","PROBLEMCODE","REQUESTID","SRX","SRY","STATUS","STREET","WARD"
"","","2013-06-26 10:22:23.987","2013-06-26 10:22:23.987","2013-06-19 13:03:48.0","","05","Animal Bite","2013-06-26 00:00:00.0","Animal Bite","498017","","","CLOSED","","02"
"","","2013-09-05 09:43:33.997","2013-09-05 09:43:33.997","2013-08-08 08:58:56.87","","18","Animal Bite","2013-08-15 00:00:00.0","Animal Bite","516266","","","CLOSED","","08"
"","","2013-09-26 10:10:27.26","2013-09-26 10:10:27.26","2013-08-08 13:31:13.507","","42","Animal Bite","2013-08-15 00:00:00.0","Animal Bite","516511","","","CLOSED","","04"
"","","2013-08-13 17:06:55.0","2013-08-13 17:06:55.623","2013-08-13 17:05:48.0","","32","Animal Bite","2013-07-15 00:00:00.0","Animal Bite","518395","","","CLOSED","","08"
"","","2009-08-11 00:00:00.0","2009-08-11 07:36:44.0","2009-08-06 11:34:04.0","","44","Animal Bite","2009-08-13 00:00:00.0","Animal Bite","70058","","","CLOSED","","04"
"","","2013-06-03 14:58:24.0","2013-06-18 08:38:19.187","2013-05-28 16:02:38.09","","16","Animal Bite","2013-06-04 00:00:00.0","Animal Bite","489506","","","CLOSED","","03"
"","","2013-06-07 11:37:23.547","2013-06-07 11:37:23.547","2013-05-30 11:15:27.537","","71","Animal Bite","2013-06-06 00:00:00.0","Animal Bite","490319","","","CLOSED","","13"
"Dog","","2013-08-28 13:12:08.46","2013-08-28 13:12:08.46","2013-06-21 10:22:17.75","","14","Animal Bite","2013-06-28 00:00:00.0","Animal Bite","498899","-10049408.82565720","4664313.17771490","CLOSED","FAIRVIEW AVE & HEREFORD ST","05"
"","","2013-06-26 12:11:29.537","2013-06-26 12:11:29.537","2013-06-26 12:10:02.11","","07","Animal Bite","2013-07-03 00:00:00.0","Animal Bite","500656","","","CLOSED","","05"
"","","2013-08-28 10:46:22.527","2013-08-28 10:46:22.527","2013-08-16 15:02:42.0","","19","Animal Bite","2013-08-23 00:00:00.0","Animal Bite","519767","","","CLOSED","","03"
"","","2013-09-03 11:17:44.387","2013-09-03 11:17:44.387","2013-08-19 15:09:31.54","","","Animal Bite","2013-08-26 00:00:00.0","Animal Bite","520464","","","CLOSED","","23"
"","","2013-12-12 13:17:40.967","2013-12-12 13:17:40.967","2013-08-20 14:27:17.0","","10","Animal Bite","2013-08-27 00:00:00.0","Animal Bite","520989","","","CLOSED","","04"
"","","2013-10-10 15:05:01.0","2013-10-10 15:05:01.163","2013-08-23 13:39:46.0","","27","Animal Bite","2013-08-30 00:00:00.0","Animal Bite","522404","","","CLOSED","","06"
"","","2013-10-07 12:50:38.0","2013-10-07 12:50:38.967","2013-09-24 16:30:30.0","","74","Animal Bite","2013-10-01 00:00:00.0","Animal Bite","533622","","","CLOSED","","13"
"Dog","","2013-04-29 16:09:52.45","2013-04-29 16:09:52.45","2013-04-12 09:30:51.0","","19","Animal Bite","2013-04-19 00:00:00.0","Animal Bite","475453","-10045205.75208950","4663274.66180580","CLOSED","COMPTON & MIAMI","07"
"","","2013-04-17 08:23:20.33","2013-04-17 08:23:20.33","2013-03-28 09:23:33.0","","35","Animal Bite","2013-04-04 00:00:00.0","Animal Bite","470588","","","CLOSED","","08"
"","","2013-03-29 00:00:00.0","2013-04-10 16:31:22.0","2013-03-28 09:31:26.0","","38","Animal Bite","2013-04-04 00:00:00.0","Animal Bite","470595","","","CLOSED","","17"
"","","2013-04-15 12:00:59.837","2013-04-15 12:00:59.837","2013-04-01 09:38:39.0","","07","Animal Bite","2013-04-08 00:00:00.0","Animal Bite","471551","","","CLOSED","","13"
"","","2013-05-03 14:02:01.887","2013-05-03 14:02:01.887","2013-04-05 11:28:03.0","","74","Animal Bite","2013-04-12 00:00:00.0","Animal Bite","473284","","","CLOSED","","13"
"","","2013-05-03 15:59:15.267","2013-05-03 15:59:15.267","2013-04-08 15:43:41.0","","16","Animal Bite","2013-04-15 00:00:00.0","Animal Bite","473894","","","CLOSED","","03"
"","","2013-05-10 11:50:35.93","2013-05-10 11:50:35.93","2013-05-02 11:45:38.773","","48","Animal Bite","2013-05-09 00:00:00.0","Animal Bite","481058","","","CLOSED","","10"
"","","2013-05-06 15:10:54.0","2013-05-13 11:48:32.577","2013-05-06 15:01:40.0","","65","Animal Bite","2013-05-13 00:00:00.0","Animal Bite","482049","","","CLOSED","","14"
"","","2013-05-13 11:05:07.0","2013-05-13 11:05:07.253","2013-05-13 11:03:26.0","","03","Animal Bite","2013-05-20 00:00:00.0","Animal Bite","484400","","","CLOSED","","01"
"","","2013-06-04 14:34:18.993","2013-06-04 14:34:18.993","2013-06-03 16:10:19.517","","80","Animal Bite","2013-06-10 00:00:00.0","Animal Bite","491554","","","CLOSED","","01"
"Dog","","2013-06-06 15:18:07.0","2013-07-10 14:36:02.243","2013-06-04 23:50:19.0","","38","Animal Bite","2013-06-11 00:00:00.0","Animal Bite","492168","-10046703.74129140","4670168.60759320","CLOSED","W PINE BLVD & N BOYLE AVE","09"
"","","2013-06-05 15:22:56.0","2013-12-12 11:44:15.247","2013-06-05 09:33:19.343","","27","Animal Bite","2013-06-12 00:00:00.0","Animal Bite","492299","","","CLOSED","","06"
"","","2013-05-07 13:01:37.707","2013-05-07 13:01:37.707","2013-04-23 16:03:04.0","","05","Animal Bite","2013-04-30 00:00:00.0","Animal Bite","478409","","","CLOSED","","02"
"","","2013-06-07 11:52:20.933","2013-06-07 11:52:20.933","2013-04-24 16:57:02.0","","54","Animal Bite","2013-05-01 00:00:00.0","Animal Bite","478744","","","CLOSED","","12"
"","","2013-05-29 08:41:51.0","2013-05-29 08:41:51.13","2013-04-25 11:42:37.0","","02","Animal Bite","2013-05-02 00:00:00.0","Animal Bite","478958","","","CLOSED","","01"
"Dog","","2013-05-10 11:51:18.457","2013-05-10 11:51:18.457","2013-05-01 10:56:32.0","","04","Animal Bite","2013-05-08 00:00:00.0","Animal Bite","480576","-10050161.61238860","4660667.39021740","CLOSED","GRAVOIS AVE & ALMA AVE","02"
"","","2013-06-26 10:21:49.0","2013-06-26 10:07:38.42","2013-06-11 16:10:54.827","","","Animal Bite","2013-06-18 00:00:00.0","Animal Bite","494964","","","CLOSED","","11"
"","","2013-06-14 10:59:42.0","2013-06-26 14:06:21.9","2013-06-14 09:51:06.0","","78","Animal Bite","2013-06-21 00:00:00.0","Animal Bite","496203","","","CLOSED","","13"
"","","2013-12-12 12:24:14.937","2013-12-12 12:24:14.937","2013-07-11 14:02:18.007","","46","Animal Bite","2013-07-18 00:00:00.0","Animal Bite","505863","","","CLOSED","","10"
"","","2013-07-30 10:15:53.573","2013-07-30 10:15:53.573","2013-07-14 15:29:05.0","","","Animal Bite","2013-07-22 00:00:00.0","Animal Bite","506630","","","CLOSED","","13"
"","","2013-07-29 15:58:16.0","2013-07-29 15:58:16.827","2013-07-15 14:45:37.0","","71","Animal Bite","2013-07-22 00:00:00.0","Animal Bite","507129","","","CLOSED","","12"
"","","2013-11-12 15:47:15.54","2013-11-12 15:47:15.54","2013-08-09 12:21:19.637","","09","Animal Bite","2013-08-16 00:00:00.0","Animal Bite","516891","","","CLOSED","","04"
"","","2013-08-13 17:08:46.0","2013-08-13 17:08:46.557","2013-08-13 17:07:43.0","","23","Animal Bite","2013-07-11 00:00:00.0","Animal Bite","518398","","","CLOSED","","08"
"","","2013-05-29 15:01:11.0","2013-12-12 11:39:48.413","2013-05-29 12:28:54.567","","09","Animal Bite","2013-06-05 00:00:00.0","Animal Bite","489838","","","CLOSED","","04"
"","","2013-07-10 08:20:30.04","2013-07-10 08:20:30.04","2013-06-24 15:34:06.553","","69","Animal Bite","2013-07-01 00:00:00.0","Animal Bite","499743","","","CLOSED","","11"
"","","2013-06-27 15:04:00.267","2013-06-27 15:04:00.267","2013-06-27 08:44:05.947","","14","Animal Bite","2013-07-05 00:00:00.0","Animal Bite","501039","","","CLOSED","","05"
"","","2013-08-13 16:04:33.49","2013-08-13 16:04:33.49","2013-07-29 15:02:16.803","","32","Animal Bite","2013-08-05 00:00:00.0","Animal Bite","512502","","","CLOSED","","08"
"","","2013-12-12 13:14:43.35","2013-12-12 13:14:43.35","2013-08-19 10:42:02.107","","38","Animal Bite","2013-08-26 00:00:00.0","Animal Bite","520229","","","CLOSED","","09"
"","","2013-05-02 12:57:15.297","2013-05-02 12:58:12.37","2012-04-04 11:08:50.0","","19","Animal Bite","2012-04-11 00:00:00.0","Animal Bite","371147","","","CLOSED","","03"
"","","2013-04-17 09:09:11.157","2013-04-17 09:09:11.157","2013-04-05 11:57:55.0","","36","Animal Bite","2013-04-12 00:00:00.0","Animal Bite","473315","","","CLOSED","","14"
"","","2013-05-10 11:52:15.43","2013-05-10 11:52:15.43","2013-05-02 11:31:36.0","","06","Animal Bite","2013-05-09 00:00:00.0","Animal Bite","481052","","","CLOSED","","02"
"","","2013-05-15 11:50:19.543","2013-05-15 11:50:19.543","2013-05-09 13:52:09.013","","30","Animal Bite","2013-05-16 00:00:00.0","Animal Bite","483505","","","CLOSED","","07"
"","","2013-06-04 15:16:38.0","2013-12-12 11:42:49.037","2013-06-04 16:51:15.837","","07","Animal Bite","2013-06-11 00:00:00.0","Animal Bite","492140","","","CLOSED","","05"
"","","2013-06-06 15:36:23.0","2013-06-18 09:32:48.663","2013-06-06 08:58:11.373","","26","Animal Bite","2013-06-13 00:00:00.0","Animal Bite","492790","","","CLOSED","","06"
"","","2013-05-10 11:32:36.537","2013-05-10 11:32:36.537","2013-04-30 15:54:08.557","","68","Animal Bite","2013-05-07 00:00:00.0","Animal Bite","480326","","","CLOSED","","11"
"","","2013-06-14 11:09:53.0","2013-06-26 10:19:12.52","2013-06-14 10:08:56.653","","11","Animal Bite","2013-06-21 00:00:00.0","Animal Bite","496221","","","CLOSED","","04"
"","","2013-09-03 14:55:45.303","2013-09-03 14:55:45.303","2013-08-12 09:33:04.423","","05","Animal Bite","2013-08-19 00:00:00.0","Animal Bite","517445","","","CLOSED","","01"
"","","2013-05-24 14:40:02.0","2013-12-12 11:36:42.423","2013-05-24 13:41:44.867","","24","Animal Bite","2013-06-03 00:00:00.0","Animal Bite","488793","","","CLOSED","","07"
"","","2013-06-04 12:00:10.923","2013-06-04 12:00:10.923","2013-05-29 11:33:05.287","","","Animal Bite","2013-06-05 00:00:00.0","Animal Bite","489770","","","CLOSED","","14"
"","","2013-06-05 11:52:53.533","2013-06-05 11:52:53.533","2013-05-30 11:50:54.573","","71","Animal Bite","2013-06-06 00:00:00.0","Animal Bite","490354","","","CLOSED","","13"
"","","2013-06-06 15:03:27.0","2013-06-28 08:08:47.723","2013-05-31 10:39:22.0","","57","Animal Bite","2013-06-10 00:00:00.0","Animal Bite","490717","","","CLOSED","","12"
"","","2013-06-07 11:38:38.6","2013-06-07 11:38:38.6","2013-05-31 13:29:41.0","","02","Animal Bite","2013-06-07 00:00:00.0","Animal Bite","490808","","","CLOSED","","01"
"","","2013-12-12 12:15:11.99","2013-12-12 12:15:11.99","2013-06-21 11:59:19.403","","09","Animal Bite","2013-06-28 00:00:00.0","Animal Bite","498987","","","CLOSED","","04"
"","","2013-08-15 17:20:56.58","2013-08-15 17:20:56.58","2013-06-26 09:25:11.54","","","Animal Bite","2013-07-03 00:00:00.0","Animal Bite","500451","","","CLOSED","","13"
"","","2013-07-15 14:49:09.443","2013-07-15 14:49:09.443","2013-06-26 21:04:28.0","","","Animal Bite","2013-07-05 00:00:00.0","Animal Bite","500969","","","CLOSED","","16"
"","","2013-12-12 12:44:17.0","2013-12-12 12:44:17.187","2013-07-25 11:12:44.0","","39","Animal Bite","2013-08-01 00:00:00.0","Animal Bite","511307","","","CLOSED","","09"
"","","2013-05-16 14:26:36.0","2013-12-12 11:29:41.267","2013-05-15 12:00:48.53","","","Animal Bite","2013-05-22 00:00:00.0","Animal Bite","485323","","","CLOSED","","12"
"","","2013-05-28 09:51:08.067","2013-05-28 09:51:08.067","2013-05-16 10:30:10.76","","52","Animal Bite","2013-05-23 00:00:00.0","Animal Bite","485698","","","CLOSED","","12"
"","","2013-10-16 09:11:42.667","2013-10-16 09:11:42.667","2013-07-03 16:34:51.763","","14","Animal Bite","2013-07-11 00:00:00.0","Animal Bite","503678","","","CLOSED","","05"
"","","2013-12-12 15:01:07.247","2013-12-12 15:01:07.247","2013-10-04 12:30:09.987","","08","Animal Bite","2013-10-11 00:00:00.0","Animal Bite","537261","","","CLOSED","","02"
"","","2013-12-12 15:01:47.34","2013-12-12 15:01:47.34","2013-10-04 16:15:42.633","","","Animal Bite","2013-10-11 00:00:00.0","Animal Bite","537420","","","CLOSED","","15"
"","","2013-12-12 15:07:26.577","2013-12-12 15:07:26.577","2013-10-08 10:48:57.547","","17","Animal Bite","2013-10-15 00:00:00.0","Animal Bite","538144","","","CLOSED","","03"
"","","2013-12-12 13:00:53.0","2013-12-12 13:00:53.273","2013-07-29 16:14:22.0","","69","Animal Bite","2013-08-05 00:00:00.0","Animal Bite","512547","","","CLOSED","","12"
"","","2013-12-12 13:08:56.22","2013-12-12 13:08:56.22","2013-08-06 16:38:46.603","","38","Animal Bite","2013-08-13 00:00:00.0","Animal Bite","515767","","","CLOSED","","09"
"","","2013-10-07 12:02:29.027","2013-10-07 12:02:29.027","2013-09-16 08:39:12.833","","","Animal Bite","2013-09-23 00:00:00.0","Animal Bite","530122","","","CLOSED","","11"
"","","2013-12-13 15:10:49.087","2013-12-13 15:10:49.087","2013-09-16 14:41:15.167","","","Animal Bite","2013-09-23 00:00:00.0","Animal Bite","530374","","","CLOSED","","17"
"","","2013-10-07 08:25:47.62","2013-10-07 08:25:47.62","2013-09-16 14:45:46.223","","","Animal Bite","2013-09-23 00:00:00.0","Animal Bite","530376","","","CLOSED","","02"
"","","2013-10-07 09:42:32.15","2013-10-07 09:42:32.15","2013-09-17 08:55:09.533","","46","Animal Bite","2013-09-24 00:00:00.0","Animal Bite","530581","","","CLOSED","","10"
"Dog","","2013-05-03 16:47:14.077","2013-05-03 16:47:14.077","2013-04-09 11:58:20.0","","10","Animal Bite","2013-04-16 00:00:00.0","Animal Bite","474257","-10052883.34428970","4665786.07179770","CLOSED","ARSENAL & JAMIESON","04"
"","","2013-07-17 09:53:16.527","2013-07-17 09:53:16.527","2013-07-01 13:34:19.95","","69","Animal Bite","2013-07-09 00:00:00.0","Animal Bite","502565","","","CLOSED","","12"
"","","2013-12-12 12:22:51.46","2013-12-12 12:22:51.46","2013-07-03 12:42:22.0","","71","Animal Bite","2013-07-11 00:00:00.0","Animal Bite","503489","","","CLOSED","","12"
"Dog","","2013-08-13 15:59:34.0","2013-08-13 15:59:34.707","2013-07-08 14:59:44.0","","14","Animal Bite","2013-07-15 00:00:00.0","Animal Bite","504324","-10049828.87403290","4663501.19059070","CLOSED","BRANNON AVE & LINDENWOOD AVE","05"
"","","2013-08-27 12:15:58.0","2013-08-27 12:15:58.943","2013-08-27 12:15:25.0","","74","Animal Bite","2013-09-04 00:00:00.0","Animal Bite","523405","","","CLOSED","","13"
"","","2013-12-12 13:27:26.0","2013-12-12 13:27:26.363","2013-09-04 10:58:21.0","","15","Animal Bite","2013-09-11 00:00:00.0","Animal Bite","526012","","","CLOSED","","06"
"","","2013-12-12 15:02:50.54","2013-12-12 15:02:50.54","2013-10-04 16:20:41.493","","","Animal Bite","2013-10-11 00:00:00.0","Animal Bite","537424","","","CLOSED","","12"
"","","2013-12-12 15:04:16.093","2013-12-12 15:04:16.093","2013-10-07 11:48:12.67","","07","Animal Bite","2013-10-14 00:00:00.0","Animal Bite","537782","","","CLOSED","","05"
"","","2013-06-11 10:17:23.0","2013-12-12 11:48:46.15","2013-06-11 10:36:27.687","","24","Animal Bite","2013-06-18 00:00:00.0","Animal Bite","494698","","","CLOSED","","07"
"","","2013-08-15 10:17:58.0","2013-08-15 17:14:45.817","2013-06-11 11:25:01.027","","03","Animal Bite","2013-06-18 00:00:00.0","Animal Bite","494753","","","CLOSED","","01"
"","","2013-12-12 13:02:45.817","2013-12-12 13:02:45.817","2013-08-02 10:07:56.643","","13","Animal Bite","2013-08-09 00:00:00.0","Animal Bite","514209","","","CLOSED","","05"
"","","2013-12-13 15:06:17.51","2013-12-13 15:06:17.51","2013-09-15 14:50:52.0","","78","Animal Bite","2013-09-23 00:00:00.0","Animal Bite","530047","","","CLOSED","","13"
"","","2013-12-13 15:23:30.46","2013-12-13 15:23:30.46","2013-09-20 18:15:29.0","","15","Animal Bite","2013-09-30 00:00:00.0","Animal Bite","532485","","","CLOSED","","06"
"","","2013-11-20 14:16:28.813","2013-11-20 14:16:28.813","2013-11-12 08:33:55.797","","68","Animal Bite","2013-11-19 00:00:00.0","Animal Bite","547655","","","CLOSED","","11"
"","","2014-01-15 00:00:00.0","2014-01-23 14:24:30.507","2014-01-10 09:21:42.133","","05","Animal Bite","2014-01-17 00:00:00.0","Animal Bite","563447","","","CLOSED","","02"
"","","2013-09-26 16:18:33.0","2013-09-26 16:18:33.443","2013-09-25 08:41:07.0","","02","Animal Bite","2013-10-02 00:00:00.0","Animal Bite","533693","","","CLOSED","","01"
"","","2013-10-07 12:52:56.41","2013-10-07 12:52:56.41","2013-09-25 14:32:48.007","","74","Animal Bite","2013-10-02 00:00:00.0","Animal Bite","533982","","","CLOSED","","13"
"","","2013-11-13 14:56:40.233","2013-11-13 14:56:40.233","2013-09-26 14:15:26.933","","","Animal Bite","2013-10-03 00:00:00.0","Animal Bite","534433","","","CLOSED","","12"
"","","2013-09-27 16:23:42.113","2013-09-27 16:23:42.113","2013-09-27 16:22:52.067","","","Animal Bite","2013-10-04 00:00:00.0","Animal Bite","534989","","","CLOSED","","28"
"","","2013-09-27 16:27:58.0","2013-09-27 16:27:58.277","2013-09-27 16:27:14.0","","05","Animal Bite","2013-10-04 00:00:00.0","Animal Bite","534994","","","CLOSED","","01"
"","","2013-12-13 15:35:27.043","2013-12-13 15:35:27.043","2013-10-03 18:20:52.0","","69","Animal Bite","2013-10-11 00:00:00.0","Animal Bite","536987","","","CLOSED","","11"
"","","2013-11-19 16:38:27.287","2013-11-19 16:38:27.287","2013-11-04 16:19:31.0","","30","Animal Bite","2013-11-12 00:00:00.0","Animal Bite","545912","","","CLOSED","","07"
"","","2014-01-16 09:57:22.84","2014-01-16 09:57:22.84","2014-01-08 09:25:31.917","","","Animal Bite","2014-01-15 00:00:00.0","Animal Bite","560955","","","CLOSED","","25"
"","","2014-03-07 00:00:00.0","2014-03-11 14:58:39.87","2014-01-09 08:45:22.233","","14","Animal Bite","2014-01-16 00:00:00.0","Animal Bite","561483","","","CLOSED","","05"
"","","2014-01-16 00:00:00.0","2014-02-13 09:54:26.163","2014-01-09 15:23:44.437","","74","Animal Bite","2014-01-16 00:00:00.0","Animal Bite","561774","","","CLOSED","","12"
"","","2014-02-19 00:00:00.0","2014-02-21 15:10:59.253","2014-02-18 10:51:07.703","","","Animal Bite","2014-02-25 00:00:00.0","Animal Bite","574567","","","CLOSED","","27"
"Dog","","2013-12-13 14:30:41.62","2013-12-13 14:30:41.62","2013-09-09 08:15:22.11","","16","Animal Bite","2013-09-16 00:00:00.0","Animal Bite","527551","-10045195.67512600","4661703.80225780","CLOSED","MINNESOTA AVE & MERAMEC ST","03"
"","","2013-09-26 16:35:52.287","2013-09-26 16:35:52.287","2013-09-11 13:39:48.373","","","Animal Bite","2013-09-18 00:00:00.0","Animal Bite","528786","","","CLOSED","","20"
"","","2013-06-05 10:24:24.837","2013-06-05 10:24:24.837","2013-04-15 11:28:38.0","","43","Animal Bite","2013-04-22 00:00:00.0","Animal Bite","475998","","","CLOSED","","04"
"","","2013-05-01 08:46:28.183","2013-05-01 08:46:28.183","2013-04-19 08:20:13.173","","27","Animal Bite","2013-04-26 00:00:00.0","Animal Bite","477275","","","CLOSED","","06"
"Dog","","2013-05-28 09:41:42.0","2013-05-28 09:41:42.203","2013-05-13 13:34:54.0","","68","Animal Bite","2013-05-20 00:00:00.0","Animal Bite","484502","-10043548.85072450","4674645.70427580","CLOSED","CLAY AVE & PENROSE ST","11"
"","","2013-05-15 12:01:57.0","2013-05-15 12:01:57.08","2013-05-15 12:01:22.0","","65","Animal Bite","2013-05-22 00:00:00.0","Animal Bite","485324","","","CLOSED","","14"
"","","2013-05-28 11:38:05.0","2013-05-28 11:38:05.12","2013-05-20 10:29:38.0","","16","Animal Bite","2013-05-28 00:00:00.0","Animal Bite","486720","","","CLOSED","","06"
"","","2013-06-07 11:42:20.36","2013-06-07 11:42:20.36","2013-05-20 13:55:48.32","","43","Animal Bite","2013-05-28 00:00:00.0","Animal Bite","486905","","","CLOSED","","04"
"","","2013-07-29 14:36:03.947","2013-07-29 14:36:03.947","2013-07-08 09:15:09.0","","22","Animal Bite","2013-07-15 00:00:00.0","Animal Bite","503926","","","CLOSED","","08"
"","","2013-07-29 11:38:30.0","2013-07-29 11:38:30.747","2013-07-08 10:36:34.0","","32","Animal Bite","2013-07-15 00:00:00.0","Animal Bite","504039","","","CLOSED","","08"
"Dog","","2013-08-13 15:58:29.0","2013-08-13 15:58:29.31","2013-07-08 21:36:40.0","","14","Animal Bite","2013-07-16 00:00:00.0","Animal Bite","504474","-10049828.87403290","4663501.19059070","CLOSED","BRANNON AVE & LINDENWOOD AVE","05"
"","","2013-12-12 13:22:15.0","2013-12-12 13:22:15.147","2013-08-27 13:01:44.0","","02","Animal Bite","2013-09-04 00:00:00.0","Animal Bite","523431","","","CLOSED","","01"
"","","2013-09-05 11:17:18.0","2013-09-05 11:17:18.793","2013-08-29 09:46:02.0","","21","Animal Bite","2013-09-06 00:00:00.0","Animal Bite","524313","","","CLOSED","","08"
"","","2013-09-09 08:53:35.0","2013-09-09 08:53:35.43","2013-09-04 09:13:59.0","","09","Animal Bite","2013-09-11 00:00:00.0","Animal Bite","525882","","","CLOSED","","04"
"","","2013-09-09 10:47:46.883","2013-09-09 10:47:46.883","2013-09-04 15:03:00.37","","","Animal Bite","2013-09-11 00:00:00.0","Animal Bite","526233","","","CLOSED","","23"
"","","2013-12-13 14:27:30.603","2013-12-13 14:27:30.603","2013-09-04 15:06:36.253","","","Animal Bite","2013-09-11 00:00:00.0","Animal Bite","526239","","","CLOSED","","11"
"","","2013-10-15 13:20:42.407","2013-10-15 13:20:42.407","2013-10-08 10:33:14.41","","","Animal Bite","2013-10-15 00:00:00.0","Animal Bite","538131","","","CLOSED","","06"
"","","2013-09-30 13:51:15.0","2013-09-30 13:51:15.827","2013-09-16 09:05:26.0","","72","Animal Bite","2013-09-23 00:00:00.0","Animal Bite","530143","","","CLOSED","","13"
"","","2013-12-13 15:09:10.567","2013-12-13 15:09:10.567","2013-09-16 14:37:10.723","","","Animal Bite","2013-09-23 00:00:00.0","Animal Bite","530370","","","CLOSED","","10"
"","","2013-12-13 15:20:05.5","2013-12-13 15:20:05.5","2013-09-19 09:27:08.183","","","Animal Bite","2013-09-26 00:00:00.0","Animal Bite","531549","","","CLOSED","","17"
"","","2013-09-27 15:00:59.0","2013-09-27 15:00:59.27","2013-09-24 13:19:26.0","","48","Animal Bite","2013-10-01 00:00:00.0","Animal Bite","533463","","","CLOSED","","10"
"","","2013-12-09 14:19:51.14","2013-12-09 14:19:51.14","2013-11-12 09:49:09.487","","74","Animal Bite","2013-11-19 00:00:00.0","Animal Bite","547741","","","CLOSED","","12"
"Dog","","2013-12-02 13:19:06.0","2013-12-02 13:19:06.297","2013-11-18 10:41:04.0","","15","Animal Bite","2013-11-25 00:00:00.0","Animal Bite","549867","-10046193.59970900","4664595.80221530","CLOSED","CONNECTICUT AVE & S SPRING AVE","06"
"","","2014-01-14 13:33:00.0","2014-02-21 13:34:45.85","2014-01-11 21:23:56.0","","17","Animal Bite","2014-01-20 00:00:00.0","Animal Bite","564333","","","CLOSED","","08"
"","","2013-12-13 15:29:01.85","2013-12-13 15:29:01.85","2013-09-25 15:37:54.083","","38","Animal Bite","2013-10-02 00:00:00.0","Animal Bite","534035","","","CLOSED","","09"
"","","2013-11-08 16:12:36.187","2013-11-08 16:12:36.187","2013-09-26 15:43:58.733","","","Animal Bite","2013-10-03 00:00:00.0","Animal Bite","534501","","","CLOSED","","08"
"","","2013-09-27 15:51:07.0","2013-09-27 15:51:07.187","2013-09-27 15:50:10.0","","69","Animal Bite","2013-10-04 00:00:00.0","Animal Bite","534956","","","CLOSED","","11"
"","","2013-10-04 10:21:30.093","2013-10-04 10:21:30.093","2013-09-30 14:59:39.47","","32","Animal Bite","2013-10-07 00:00:00.0","Animal Bite","535484","","","CLOSED","","08"
